"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20240830 3286093 1,417 202,408,292,698","8/30/2024","8/28/2024","Debit","-14.17000","","1375929384","Ext Credit Card Debit SQ *CAFE BENTO           TULALIP      WA","","Credit Card","622.67000","","Ext Credit Card Debit SQ *CAFE BENTO           TULALIP      WA"
"20240828 3286093 17,505 202,408,272,697","8/28/2024","8/22/2024","Credit","175.05000","","1375196036","Ext Credit Card Credit THE BARNES               SAN FRANCISCOCA","","Credit Card","608.50000","","Ext Credit Card Credit THE BARNES               SAN FRANCISCOCA"
"20240828 3286093 300 202,408,272,696","8/28/2024","8/24/2024","Debit","-3.00000","","1375196037","Ext Credit Card Debit CLIPPER SYSTEMS MOBILE   CONCORD      CA","","Credit Card","783.55000","","Ext Credit Card Debit CLIPPER SYSTEMS MOBILE   CONCORD      CA"
"20240828 3286093 500 202,408,272,695","8/28/2024","8/24/2024","Debit","-5.00000","","1375196038","Ext Credit Card Debit CLIPPER SYSTEMS MOBILE   CONCORD      CA","","Credit Card","780.55000","","Ext Credit Card Debit CLIPPER SYSTEMS MOBILE   CONCORD      CA"
"20240826 3286093 1,321 202,408,252,693","8/26/2024","8/23/2024","Debit","-13.21000","","1374440298","Ext Credit Card Debit SPOTIFY                  8777781161   NY","","Credit Card","1828.94000","","Ext Credit Card Debit SPOTIFY                  8777781161   NY"
"20240826 3286093 5,690 202,408,252,692","8/26/2024","8/23/2024","Debit","-56.90000","","1374440299","Ext Credit Card Debit LYFT   *1 RIDE 08-22     SAN FRANCISCOCA","","Credit Card","1815.73000","","Ext Credit Card Debit LYFT   *1 RIDE 08-22     SAN FRANCISCOCA"
"20240826 3286093 5,383 202,408,252,691","8/26/2024","8/23/2024","Debit","-53.83000","","1374440300","Ext Credit Card Debit HONEY HONEY CAFE         SAN FRANCISCOCA","","Credit Card","1758.83000","","Ext Credit Card Debit HONEY HONEY CAFE         SAN FRANCISCOCA"
"20240826 3286093 759 202,408,252,690","8/26/2024","8/22/2024","Debit","-7.59000","","1374440301","Ext Credit Card Debit WHARF STORE              SAN FRANCISCOCA","","Credit Card","1705.00000","","Ext Credit Card Debit WHARF STORE              SAN FRANCISCOCA"
"20240826 3286093 35,010 202,408,252,689","8/26/2024","8/24/2024","Debit","-350.10000","","1374440302","Ext Credit Card Debit THE BARNES               SAN FRANCISCOCA","","Credit Card","1697.41000","","Ext Credit Card Debit THE BARNES               SAN FRANCISCOCA"
"20240826 3286093 17,505 202,408,252,688","8/26/2024","8/22/2024","Debit","-175.05000","","1374440303","Ext Credit Card Debit THE BARNES               SAN FRANCISCOCA","","Credit Card","1347.31000","","Ext Credit Card Debit THE BARNES               SAN FRANCISCOCA"
